Date,Open,High,Low,Close
2021-01-04,14201,14435,14125,14415
2021-01-05,14426,14509,14344,14414
2021-01-06,14410,14441,13859,14026
2021-01-07,14036,14154,13854,14020
2021-01-08,14070,14071,13486,13646
2021-01-11,13608,13876,13413,13789
2021-01-12,13788,13978,13764,13822
2021-01-13,13825,13919,13648,13671
2021-01-14,13677,13736,13559,13607
2021-01-15,13610,13835,13602,13620
2021-01-18,13644,13847,13473,13748
2021-01-19,13749,13798,13644,13754
2021-01-20,13769,13891,13650,13888
2021-01-21,13872,13915,13688,13789
2021-01-22,13786,13850,13616,13748
2021-01-25,13778,13815,13639,13753
2021-01-26,13755,13805,13584,13598
2021-01-27,13606,13675,13551,13634
2021-01-28,13656,13724,13484,13537
2021-01-29,13536,13704,13482,13489
2021-02-01,13608,13615,13311,13392
2021-02-02,13380,13398,13119,13236
2021-02-03,13224,13280,13085,13134
2021-02-04,13141,13142,12717,12814
2021-02-05,12816,12850,12670,12787
2021-02-08,12818,13062,12766,12944
2021-02-09,12959,13117,12955,12992
2021-02-10,12995,13093,12935,13019
2021-02-11,13014,13031,12803,12838
2021-02-12,12835,12872,12713,12814
2021-02-15,12840,12847,12628,12667
2021-02-16,12665,12716,12523,12550
2021-02-17,12540,12638,12334,12395
2021-02-18,12389,12481,12366,12378
2021-02-19,12396,12470,12288,12439
2021-02-22,12463,12793,12409,12701
2021-02-23,12712,12848,12680,12838
2021-02-24,12842,12999,12801,12944
2021-02-25,12945,13173,12787,13015
2021-02-26,13009,13209,12740,12825
2021-03-01,12876,12969,12543,12570
2021-03-02,12572,12820,12460,12776
2021-03-03,12772,12892,12605,12766
2021-03-04,12770,12870,12652,12738
2021-03-05,12758,12872,12671,12797
2021-03-08,12836,13077,12800,13067
2021-03-09,13087,13154,12972,13072
2021-03-10,13066,13126,12915,12955
2021-03-11,12957,13028,12873,12891
2021-03-12,12878,13052,12856,13051
2021-03-15,13066,13132,12979,13055
2021-03-16,13045,13093,12933,12985
2021-03-17,12979,13204,12949,13104
2021-03-18,13116,13163,12631,12718
2021-03-19,12712,12831,12517,12588
2021-03-22,14157,14180,13305,13549
2021-03-23,13606,13776,13342,13717
2021-03-24,13719,13867,13534,13731
2021-03-25,13723,13913,13636,13703
2021-03-26,13738,14094,13687,14094
2021-03-29,14041,14142,13816,14025
2021-03-30,14117,14303,13878,14023
2021-03-31,14034,14147,13887,14063
2021-04-01,14085,14206,13931,14017
2021-04-05,14136,14241,13959,13996
2021-04-06,14002,14230,13990,14185
2021-04-07,14177,14265,14126,14129
2021-04-08,14167,14343,14116,14270
2021-04-09,14263,14311,14118,14224
2021-04-12,14256,14306,14068,14109
2021-04-13,14104,14253,14006,14163
2021-04-14,14132,14200,13993,14010
2021-04-15,14006,14287,13966,14122
2021-04-16,14125,14401,14119,14321
2021-04-19,14339,14446,14254,14324
2021-04-20,14315,14444,14285,14418
2021-04-21,14417,14719,14400,14670
2021-04-22,14675,14981,14664,14817
2021-04-23,14815,15020,14782,14873
2021-04-26,14975,15072,14682,14735
2021-04-27,14745,14777,14550,14564
2021-04-28,14576,14636,14392,14581
2021-04-29,14587,14676,14455,14549
2021-04-30,14525,14719,14491,14629
2021-05-03,14644,14874,14625,14785
2021-05-04,14774,14951,14725,14800
2021-05-05,14775,14883,14756,14848
2021-05-06,14877,15075,14780,15006
2021-05-07,15007,15207,14979,15078
2021-05-10,15087,15237,15062,15181
2021-05-11,15166,15276,15099,15216
2021-05-12,15239,15427,15122,15280
2021-05-13,15283,15551,15277,15518
2021-05-14,15516,15594,15416,15562
2021-05-17,15564,15649,15382,15511
2021-05-18,15508,15637,15480,15599
